Ma,Muc_do,Module,Van_de,Bang_chung,Giai_phap,Uoc_luong_ngay,Vi_pham_muc_tieu,Nguoi_phu_trach,Trang_thai
B0,BLOCKER,Tien/Ghi danh,Fix PH-1/PH-2/C4/C5 + migration 20260629142518 dang o working tree CHUA COMMIT,"arc42 §11 :::warning Chua commit",Commit + push + chay prisma migrate deploy ngay,0.5-1,#2 Toan ven tien,,Chua bat dau
H1,HIGH,Auth/Data/Infra,scopedDb khong auto-scope GHI (create/update/delete + nested include) -> IDOR write CS1 ghi du lieu CS2,"xuong-song-rbac.md tru 3: doc OK / write chua auto-scope; db-scope.ts chi extends 6 method doc",Mo rong Prisma Extension chan write (validate centerId payload+where) + de quy include + fail-closed + test CI write-path,8-12,#1 Cach ly co so,,Chua bat dau
H2,HIGH,CRM,2 luong convert - v1 closeLeadAsEnrolled bo qua guard thanh toan -> ghi danh khi chua thu tien,"lib/flags.ts CONVERT_V2_ENABLED mac dinh OFF; closeLeadAsEnrolled tao Order khong qua evaluatePaymentGuard",Bat CONVERT_V2 staging -> doi chieu -> cat v1 delegate sang convertLeadV2 -> go flag,5-7,#2 Toan ven tien,,Chua bat dau
H3,HIGH,Finance,2 luong hoan tien tach roi - duyet RefundRequest khong tu sinh but toan refundPayment -> lech so cai,"hoan-phi-cong-no.mdx §6: hai co che doc lap; RefundStatus APPROVED->PAID la manual update",Khi APPROVED->PAID goi luon refundPayment (Payment am) atomic; dong bo tien thuc nhan o debt.ts,3-5,#2 Toan ven tien,,Chua bat dau
H4,HIGH,System,ManagerDashboard dung raw db khong scopedDb -> CENTER_MANAGER thay du lieu lien co so,"bao-cao.mdx §7: ManagerDashboard 10 query raw db; :::caution known gap",Thay db -> scopedDb(actor) o dashboard + KPI; test CENTER_MANAGER chi thay co so minh,2-4,#1 Cach ly co so,,Chua bat dau
H5,HIGH,LMS,Vai tro TRAINING thieu quyen duyet/phat hanh ReportCard & CourseCompletion -> nghen hoc ba cuoi ky,"phong-dao-tao.md: TRAINING khong co quyen (permissions.ts:382,390,391)",Them capability review (report-cards + course-completion) cho TRAINING hoac xac nhan don len CENTER_MANAGER,1-2,Quy trinh nghiep vu,,Chua bat dau
H6,HIGH,HR,importApprovedShifts de TOAN BO lich thang (deleteMany->createMany 5000 dong khong rollback),"Muc 6.3: DE HOAN TOAN lich thang - deleteMany thang cu roi createMany",Them preview/diff; upsert theo [userId,date]; snapshot truoc khi de de rollback,3-4,Toan ven du lieu,,Chua bat dau
H7,HIGH,Public,GA4 + Meta Pixel co the khong mount tren public site -> mat tracking marketing/ROAS,"seo-tracking.mdx §3.4 caution: GA4 va MetaPixel khong duoc mount trong layout",Verify layout mount 2 component; dien fbq snippet that; kiem GA4 realtime + Meta Events Manager; CI check tag,2-3,#4 Do luong MKT,,Chua bat dau
H8,HIGH,LMS/Portal,SCORM + Eval V2 build hoan chinh nhung flag OFF -> da lam nhung chua chay that,"lib/flags.ts isScormEnabled/isEvalV2Enabled mac dinh OFF",Rollout co kiem soat: bat staging -> e2e -> bat prod theo co so; chay CI voi flag ON dinh ky,5-8,Gia tri su dung,,Chua bat dau
H9,HIGH,Portal/Infra,/portal/bai-giang + anh hoc sinh phuc vu qua fileUrl R2 tho (MEDIA_SIGNED_URL OFF) -> ro ri PII tre em,"container-storage-r2.md: tai lieu bai giang lo fileUrl tho; resolveMediaUrl fallback fileUrl",Bat MEDIA_SIGNED_URL prod sau verify presign; fail-closed an anh thay vi fallback URL tran,3-5,#3 Bao mat PII,,Chua bat dau
H10,HIGH,Infra,Backup/DR moi o muc MUC TIEU (RPO 24h/RTO 4-8h) chua drill -> co the mat 24h du lieu,"deployment.mdx: muc tieu RPO 24h/RTO 4-8h; PITR runbook chua thay drill",Chay DR drill (restore staging) do RTO/RPO that; PITR + backup tan suat cao cho bang tien/enrollment,3-5,#2 / Kha dung,,Chua bat dau
V1,VERIFY,Portal/LMS/CRM,Mau thuan tai lieu can xac minh: consent anh UI; HomeworkAssignment.status; hasRecordedPayment tam false,"§11 (cu) vs trang chi tiet (moi) mo ta khac nhau",1 dev doi chieu code 0.5 ngay xac nhan da sua hay chua,0.5,Do tin cay audit,,Chua bat dau
M1,MEDIUM,Auth,~219 file con import @/lib/db tran bo qua scopedDb,"scoped-db.mdx: db-import-allowlist.mjs ~219 file - muc tieu -> 0",Migrate theo lo - moi file chuyen scopedDb(actor) thi xoa khoi allowlist; uu tien model nhay cam,10-15,#1 Cach ly co so,,Chua bat dau
M2,MEDIUM,Auth/System/Data,RBAC v1 (chay) + v2 (shadow) song song lau dai - UI /admin/roles chua hieu luc,"rbac-v2.mdx: Runtime van tra ket qua v1; isSafeToEnableRbacV2 can 0 lech 7 ngay",Dashboard RbacShadowDiff; dat mock flip; banner 'chua hieu luc' tren /admin/roles,5-8,Quan tri RBAC,,Chua bat dau
M3,MEDIUM,SIS/CRM/Data,Nhieu cap 2 luong song song chua hop nhat (TrialClass v1/v2; Enrollment legacy/D5; 2 ma HV; audit kep 9 bang),"erd-crm/sis-finance/vanhanh: cac field/bang legacy song song",Lap checklist dong tung 2-phase: backfill -> cutover -> drop field cu,8-12,No ky thuat,,Chua bat dau
M4,MEDIUM,Finance/Portal,Side-effect ngoai transaction (email/event/recomputeOrder/MakeupNeed .catch nuot loi),"don-hang.mdx; installments.ts recomputeOrder ngoai tx; cskh-phu-huynh §1.4 createMakeupNeed.catch",Dung transactional outbox: ghi su kien trong tx - worker day sau; dua MakeupNeed vao tx,4-6,Toan ven du lieu,,Chua bat dau
M5,MEDIUM,Finance,Cong thanh toan online chua tich hop (chi QR tinh) du enum ho tro VNPAY/TINGEE,"don-hang/payment-methods: chi enum + QR tinh khong webhook",Tich hop redirect/webhook/doi soat gateway that hoac tam an phuong thuc chua ho tro,8-15,Tinh nang moi,,Chua bat dau
M6,MEDIUM,HR,QR token cham cong co dinh khong het han + tin GPS client -> gian lan cong,"Muc 6.1: verifyQrToken token co dinh; geofence dua lat/lng client",Token xoay vong TOTP/nonce; server sanity GPS (toc do/do chinh xac); gan thiet bi/IP co so,3-5,Toan ven cham cong,,Chua bat dau
M7,MEDIUM,Portal,Eval danh gia GV khong an danh (ghi studentId+teacherId) + RiskAlert thieu unique constraint DB,"yeu-cau-tuong-tac.mdx §2.4; cskh-phu-huynh §5.1 khong co unique constraint",Quyet dinh chinh sach an danh; them partial unique index (studentId,type) WHERE status=OPEN,2-4,Bao mat/Idempotency,,Chua bat dau
M8,MEDIUM,System,Bao cao fetch raw Prisma take lon (Lead 20k/Churn 50k/Payment 5k) khong phan trang,"bao-cao.mdx: take lon trong RSC",Chuyen groupBy/aggregate o DB; cache theo ky; gioi han khoang thoi gian mac dinh,3-5,Hieu nang,,Chua bat dau
M9,MEDIUM,Infra,Redis fallback chua dinh nghia + cron serverless co the timeout,"container-redis.md: Fallback khi Redis loi = Se chi tiet",Dinh nghia fail-open/closed tung endpoint (OTP fail-closed); circuit breaker; alert backlog cron,3-5,Kha dung,,Chua bat dau
M10,MEDIUM,Products,3 he ton kho doc lap chua reconcile (Kit/Product toan cuc/StockBalance per-center) + TOCTOU adjustStock,"san-pham-kho §2.5: read-then-write khong TOCTOU guard",Chuan hoa guarded updateMany; dinh nghia ranh gioi 3 he hoac xay bridge SALE->ISSUE,3-5,Toan ven ton kho,,Chua bat dau
